label,text
Neutral,PERSON අර නුගෙගොඩ ද කොහෙද අනරක්ෂිත පරෙ ගහපු එකක් වැටිල කෙල්ලෙක් එකතැන් උන නෙද එකට ගන්නෙ මොන හුලගෙ මොන එකද
Neutral,PERSON PERSON PERSON ඉයෙ ඉදන් කොහෙද අතුරු දහන් උබ එක කියම් ගිය නෙද කැල්ල බලන්න
Location,අද PERSON කෙවින් එක්ක කොහෙද ගිය මෙයPERSON නෙද PERSON බබහ්
Neutral,අර ුරුදු_කට_කලින් ඇවිල්ල පැට්රික් ඩොසිගෙං % ෂෙයස් ගත්තය වගෙ එව්ව මෙව්ව කියපු ඩයල් එකත් දැං ට්විට් එකෙ කො
Neutral,බයිසන්වරු එලවලු හල් මිල වැඩි කියල තියෙන පොස්ට් හොය හොය ගිහින්   ක්රොටන් කොල කපු උං එලවලු මිල වැඩි කියනව   වගෙ ය
Neutral,PERSON ඔය ගොප්රො එකෙන් ගන්න පින්තුර කොහෙද දන්නෙ
Neutral,PERSON අත කොහෙද කියල බැලුවෙ
Neutral,මු සමන් එදිරිමුනිගෙ දරුවෙක්ද කොහෙද දෙවනි ඉනිමත් එක්ක අත්මිය බැදිමක් තියෙන්නෙ PERSON
Neutral,PERSON උබ දන්න නිතිය කොහෙද කියන්නෙ cctv මකල කියල නඩුවත් අහල ඉවරයි ඉලග නඩුව දලත් නැ ෆොන්සෙකට වුන වගෙ නිති
Location,PERSON තො කොහෙද බොල බොන්න ගියෙ
Location,PERSON PERSON PERSON පච රනවක රජිත ඩයස් කන්දප්පල වගෙ උන් නිතියෙ දෙවගන සමුහ දුෂන කරන කොට තෙපි කොහෙද හිටියෙ බොලව්
Neutral,දෙවනි ඉනිමෙ මධ්ය ප්රකෂක ද කොහෙද මු වෙන රස්ස නෙද්දොයි
Location,PERSON PERSON ඔබ ඉන්නෙ කොහෙද කිය සහරන් හොයනව ලොකෙ පුර
Neutral,අර ුරුදු_කට_කලින් ඇවිල්ල පැට්රික් ඩොසිගෙං % ෂෙයස් ගත්තය වගෙ එව්ව මෙව්ව කියපු ඩයල් එකත් දැං ට්විට් එකෙ
Neutral,මචන් මෙයනම් මනුස්සයෙක් වෙන්න බැදෙවියෙක්ද කොහෙද මොක හිරෙගියත් මටනම් වගෙ වගක් නැත මගෙ
Neutral,බලං ගිහම වොට්සන් වගෙම හොම්ස් කියනෙත් අහක යන කුනු ඇදන් කන එව්න් ඩබලක්ද කොහෙද කවුරුවත් කියපු දෙයක් අරෙහෙන් මෙහෙන් අ
Location,PERSON එය කොහෙද එත්කොට
Location,PERSON ලියන්ගස්තොට තියෙන්නෙ කොහෙද
Neutral,PERSON උබල කොහෙද ඔව දන්නෙ අපි කලයක් රෙඩියො වල ඔවර් නයිට් කරපු උන් හරිය
Location,PERSON කොහෙද ලංකවෙ
Neutral,හපොයි බොලෙ බුල් මල්ලි මැෂිම ඇතුලෙ කැරකෙනව දුලි කිලුටු වෙල කියල බබ උන්ව හොදනව ස්නොවි කොහෙද කියල ඔහු ගෙ පුරම
Location,වැඩ්ඩො සිටිය යුත්තෙ කොහෙද පිලිතුර පර්ලිමෙන්තුවෙ  මහචර්ය චන්න ජයසුමන අනුරධපුර දිස්ත්රික්කයෙන්ද අචර්ය නලක ගොඩ
Neutral,වම්පස දකුනු රොදය PERSON එයි මෙක කිය දෙන්නකො මත් තම අපෙ වහනෙ හොයනව එ වගෙ රොද කොහෙද තියෙන්නෙ කිය https:
Neutral,PERSON එක හරිම ලස්සනයිනෙ ඔව් හිනයකද කොහෙද තම එය
Neutral,PERSON ඔඔඔඔ ඔඔඔ කොහෙද මෙය එක්ක බැනෙ අෆ්ෆ
Neutral,පචයට තියෙන අවුල හප්පපු එක නෙවෙයි එ රැ කොහෙද තනියම ගියෙ කියල උසවියෙන් අහයි කියල ඉය
Neutral,PERSON PERSON නැට්ට පොඩ්ඩක් ගිනි අරගෙන ෂයිල්යකර්ම කරගෙන කිම්පුකෂික කඩවැසියන් වගෙ පුක හදගන්න ඔනෙ කියලලු අවෙ අනෙ ම
Neutral,PERSON PERSON නැට්ට පොඩ්ඩක් ගිනි අරගෙන ෂයිල්යකර්ම කරගෙන කිම්පුකෂික කඩවැසියන් වගෙ පුක හදගන්න ඔනෙ කියලලු
Neutral,PERSON PERSON මුස්ලිම් අන්තවදියො කොහෙද මුස්ලිම් අයව පිඩවට ලක්‌ කරන්නෙ ඔය සුරංගන කත හොදයි සිරියවෙ
Neutral,PERSON PERSON PERSON ජනපති කව්ද එද අමති කොහෙද මෙද
Neutral,PERSON PERSON Mhh සුලු දෙයක් අයියෙ අර GB ද කොහෙද කටුන් එකෙ ටොරන්ට් ලින්ක් එකත් එවන්න
Neutral,PERSON යකඩ කල වතුර බිලද කොහෙද මලකඩ කල ම්
Neutral,Cent OS එකට Asterisk සර්වර් එක දම VOIP කන්ෆිගර් කිරිමට යුසර් නෙම් අනන් මනන් ලබදි IP ද ලබ දි Asterisk Server එක ර
Neutral,LTTE එක එ කලෙ බෙබි බ්රිගෙඩ් කියල ලම සොල්දදුවො පුහුනු කරද්දි ඔය මනො ගනෙෂන්ල කොහෙද උන්නෙ උන් ටික ලම මනසට ලොකු
Location,PERSON උබයි චන්දුයි කොහෙද ගියෙ
Neutral,වොල් අර්ට් ඉත සුදුසු වන්නෙ එව කලවෙන් පමනක් ම වර්නවත් වු විටය එසෙ නොවි එම කලවෙන් තවකෙකු වෙදනවට පත් කරයිනම් එ
Neutral,PERSON උ හිනයක් දකිනවද කොහෙද
Neutral,කල්පන කරල බැලුව බැලුව හිතගන්නම බැ බැරිම තැන කර් එක යටට බඩගල බැලුව PERSON අන්කල් කොහෙද එ රොදෙ අනෙ ple
Neutral,අනෙ මන්ද ඉටිම් කෙල්ලො අවන්ක වැඩිනොසමද කොහෙද තව කෙල්ලෙක්ගෙ පුපටත් ඉරිසිය කොරන්නෙ
Location,PERSON මහරගම කොහෙද
Location,PERSON එ කොහෙද
Neutral,PERSON හරියට හරි මට එක මතක් උන කොහෙද මල පෙරෙතකම කල දන්න සුදුලුනු ටිකක් තලලතෙල් චුට්ටක් දලසුදු
Neutral,PERSON කොහෙද බන් ලංකවෙ සිරියලත ස්විස් තනපති කර්යලයෙ වැඩකර කියල එ ගැනිට තනපති බුක්තිය ලැබෙන්නෙ දන්න මගුල
Neutral,Really PERSON bro Still no customer care යන්නෙ කොහෙද මල්ලෙ පොල් නෙහ්
Neutral,PERSON එතනින් එහ නං අපිටත් කරන්න බැද කොහෙද මස්ටර්ස් නං තම
Location,PERSON නුවරඑලියෙ කොහෙද
Location,PERSON නැ අවිස්සවෙල්ලෙද කොහෙද
Location,PERSON කොහෙද ඉන්නෙ
Location,PERSON PERSON PERSON මෙයට නොකිය උබ කොහෙද ගියෙ
Location,PERSON කොහෙද මෙ නවල
Neutral,PERSON PERSON ඔක සෙක්ස් වලට එහ හිය ඇදුම් පැලදුම් ගති සිරිත් වල ඇති උනු පසුගමි තත්වයක් කියල මට හිතෙන්නෙ
Neutral,PERSON කොහෙද මචන් මෙදැක්කත් සනිපයි
Location,කොහෙද මෙ යන්නෙ
Location,හරියට කියපං ලංකවෙ ලොකුම Wall Art එක තියෙන්නෙ කොහෙද
Location,PERSON කොහෙද අයියහ්
Neutral,PERSON ඔය පැන් අන්තිමට හෙනටම බල වෙල ගිය තින්ත ගල්වෙන්න ගත්ත එ කලෙම අව වෙන පැන් බ්රැන්ඩ් එකක් ඇට්ලස්ද කො
Location,්දුවත් එක්ක කොහෙද යනව කියගෙන කියඔයි
Location,PERSON කොහෙද බොල මටත් නොකිය
Location,රැ කොහෙද යන්නෙ
Location,PERSON හලවත කොහෙද බං
Location,PERSON මෙ කොහෙද
Location,PERSON කොහෙද මිනිහො මෙච්චර දවස් හටියෙ
Neutral,රසිකයයි අර රියල් චරිත් කියන හදයයි ගිංතොට ප්ලයිවුඩ් එකෙ වැඩ කරපු උන්ද කොහෙද
Location,PERSON PERSON අක්කෙ ගෙවල් කොහෙද හොයගෙන හරි එන්නම්
Neutral,මං එහෙ බලල මෙහෙ බලන ඩිංගිත්තට දොට්ට පොලවල් ගනෙ මට කැලැ පත්තරත් ගහල වසනවට මගෙ කියල ගිරගම මැනිකෙද කොහෙද ඇදල
Neutral,PERSON අයුබොවන් කොහෙද බං මලය හිටියෙ
Neutral,සිරියයි යහපලන අන්ඩුවයි තියෙද්දි එක ලබ්බකින්වත් සැනසිලි තැග්ගක්වත් ලංකව දිනුවෙ නැ ගොටබය අපු ගමන් යන හැම එකම දින
Location,PERSON එයි කෙරිය කොහෙද හිටියෙ
Neutral,මං එහෙ බලල මෙහෙ බලන ඩිංගිත්තට දොට්ට පොලවල් ගනෙ මට කැලැ පත්තරත් ගහල වසනවට මගෙ කියල ගිරගම මැනිකෙද කොහෙද ඇද
Neutral,PERSON ලංකවෙ පමනක් පුරවැසියෙක් වෙන රටට අපහස කරන්න බොරු කියන මෙ ගැනිට කොහෙද තනපති වරප්රසද
Neutral,ගිය ඖරුද්දෙද කොහෙද නත්තල් කලෙ Reindeer challenge එකක් තිබ්බ නෙ මෙද පර නැද්ද
Neutral,PERSON ප්රොෆෙසර් හිටියනම් ඉතින් අහගන්න තිබ්බ කොහෙද මෙ මල්පපඩම් එක්ක බැහැනෙ
Location,PERSON යකොයි කොහෙද එලම එලම
Location,PERSON කොහෙද බන් ලංකවෙ සිරියලත ස්විස් තනපති කර්යලයෙ වැඩකර කියල එ ගැනිට තනපති බුක්තිය ලැබෙන්නෙ දන්න ම
Location,PERSON කොහෙද යකො ව්හෙම පරිප්පු තියෙන්නෙ
Location,PERSON PERSON ඔය ප්රොන් විඩියොස් බලන්න තියෙන්නෙ කොහෙද මෙය
Neutral,PERSON PERSON   යන්නෙ කොහෙද වල්ලෙ මයිල්   වගෙ උත්තර නෙ දෙන්නෙ මෙය
Neutral,PERSON මෙ මොනද කොහෙද කවද්ද උනෙ
Neutral,PERSON වැඩක් නැ අවරුදු ක්‌ හිටියත් මතක් වෙනව පලමු මතකයන් සුන්දරයි කියන්නෙ එකද කොහෙද
Neutral,PERSON මුතු කිරිල්ලි පලවෙනි එකද කොහෙද අම්මො එ කලෙ නෙහර
Neutral,PERSON PERSON අඩො තම වෙරිද කොහෙද බන්
Location,PERSON කො කොහෙද හැපුයි පැගුනද
Location,PERSON ඔය දන්නැද්ද ඉයෙ පෙරෙද අරංචි උනෙ ඔය Kushan කියන කෙන මැරිල තියෙන්නෙ දි ද කොහෙද කියල
Location,එතකොට මෙ සියල්ල සිදු වෙල තිබෙන්නේ දැනගෙන පසුගිය අවුරුදු හෙ නිතිය බල්ලට යනකොට ඔය PERSON එකෙ PERSON යෙ උන් කොහෙද බන්
Location,PERSON PERSON Phone එකෙ කොහෙද තියෙන්නෙ
Neutral,ලුනු ගනං ලංකවෙ විතරක් නෙවෙද කොහෙද
Neutral,Telegarm එකෙ ඩවුන් වෙන විඩියො කොහෙද සෙව් වෙන්නෙ PERSON අර ෆිල්ම් දන ගෘප් එකෙ එව ඩවුන් කරන්නෙ කොහොමද PERSON
Neutral,PERSON Ur welcome ඔය ගොඩක් නිවිච්ච කෙනක් ද කොහෙද
Neutral,PERSON කො කොහෙද ඉන්නෙ නොටිය ඉන්න මම අල්ලන්න දගලන්නෙප ඉතින්
Neutral,PERSON PERSON එහෙම සින් එකක්ද කොහෙද තම බන්
Neutral,කොහෙද කොහෙද අහන්න එප සුපිරි වැඩක්
Neutral,රැල්ලට ගිහින් හැමොටම පෙන්න තොලක් දන ෆොටො එකක් අප්ලොඩ් කරන්න හිතෙනව කොහෙද ඉතින් පෙන හින ස්ක්රින් ෂොට්
Neutral,PERSON PERSON ඔකනෙ ඉතිං වැස්සට වත් පසල් නොගිය එවුන් මධ්ය කරයො උනම බැරි අංකල් උබ අහල නැද්ද ථෙරපුත්තබය
Neutral,කල්පන කරල බැලුව බැලුව හිතගන්නම බැ බැරිම තැන කර් එක යටට බඩගල බැලුව PERSON අන්කල් කොහෙද එ රොදෙ අනෙ
Neutral,PERSON කොතනද බ්රො චිත්ත ෆොර්ම් නොකරන්නෙ චිත්ත ෆොර්ම් කරොත් තමයි පැවැත්ම තියෙන්නෙ මෙකෙත් එච්චරයි
Location,කොතනද ඉන්නෙ ජිම් එකෙ මත් ඔතන ඉන්නෙ
Neutral,PERSON PERSON මං කටවත් ලව් කරනව කිව්වෙ කොතනද
Neutral,ලියගන්නට අකුරු නැතිවද කියගන්නට වචන නැතිවද ගොලුවුනෙ අපි නුබ අද කොතනද ම අද කොතනද ලතැවුල් පමනක් ඉතිරිව බැදිසෙ
Neutral,සිරිසෙන ගෙදරින් දොට්ට via PERSON සිරිසෙනට මෙතරම් සැප නිවසක් අවෂ්ය ද ජනපතිටවත් නැති පහසුක
Location,PERSON මෙ කොතනද
Location,PERSON මචං පොඩ්ඩක් කියහන් පය තියෙන්නෙ කොතනද කියල දන්නැති නිස ඇහුවෙ
Location,දැන් කොතනද තියෙන්නෙ
Location,PERSON මෙ කොතනද
Location,PERSON කොතනද බං ඔය
Location,PERSON PERSON ඔන තැනට නිති නැ සහොදරය පරවල් ගනෙ හැමනෙන්නෙ කොතනද එ ෆිල්ම්වල ද ද ද ද කොකෙද පරවල් ගනෙ
Neutral,රටෙ රජතුම ප්රමුක කන්ඩයම සැලසුම් කරන්නෙ රටවැසිය වෙනුවෙන් තමන් ලොකයෙ කොතනද තවත් අවුරුදු කින් ඉන්නෙ කිය
Neutral,PERSON PERSON එකත් කමක් නැ කියමුකො මට තියෙන ප්රෂ්නෙ තම අරුගෙ අත තියෙන්නෙ කොහෙද බන්
Neutral,PERSON කොහෙද බo ව්යංගර්ථයක් තියෙන්නෙ ඔය කෙලින්ම කියල තියෙන්නෙ මo
Neutral,රජිත අත්අඩංගුවට ගන්නැයි නිතිපති නියොග කරයි CID ක්රියත්මකයි‘රජිත සෙනරතන බන්ධනගරය වැලිකඩ’ නව ලිපිනය සුදනම්
Neutral,රජිත අත්අඩංගුවට ගන්නැයි නිතිපති නියොග කරයි CID ක්රියත්මකයි‘රජිත සෙනරතන බන්ධනගරය වැලිකඩ’ නව ලිපිනය
Neutral,PERSON වෙබ් අඩවි කිහිපයකට ගිහිල්ල එවල Newsletters වලට ඔය ලිපිනය දල ලියපදිංචි වෙන්න
Neutral,PERSON PERSON ලිපිනය ලියු මුද්දර සහිත ලියුම් කවරයක් එවන්න ද
Neutral,PERSON ලිපිනය : වෙතරනි අපය ලග උස්සද නිරය
Neutral,PERSON ඔක කියවපු ගමන් අල්ලපු ගෙදර අංකල් කමතුරයෙක් කියල ලමයි හිතනව ඇයි ඉතිං එක නෙ ඔය ලියල තියෙන්නෙ පෙන්
Neutral,PERSON එහෙනං ඉතිං ඔක නත්තල් තැග්ගක් කියල හිතගන්නයි තියෙන්නෙ
Neutral,PERSON PERSON හැරෙන්න වෙලවක් නැ බන් තව මස ක් යනකන් එපවෙල තියෙන්නෙ අරකයි මෙකයි බයිල තමයි ඔක නැ කියල අපි නොගිහින් හිටියද
Neutral,PERSON Raw Copy or ඔක මම අහල තියනව දිව අග තියෙන්නෙ එන්නැ තු තු
Neutral,ඉක්මනට තරහ යන කෙල්ලො ගවලු සැබැ අදරෙ තියෙන්නෙ අර මනුස්සයට ඔක තෙරෙනවයැ
Neutral,උපුට ගැනිමකි  Deshan Nimrod මෙ ගංවතුර වෙන කලෙක අවනං   අන්න කතරගම දෙවලෙ යට වෙන්ඩම වැහැලලු ඔක තම අපි තොපිට
Neutral,PERSON PERSON ජපනයෙත් ඔක කරනව කරනව කියන්නෙ නය යනකමි ඉන්නෙ නැකලින්ම කරල තියෙන්නෙ
Neutral,PERSON ටද බං ඔක ගැටගැහිල තියෙන්නෙ
Neutral,PERSON PERSON එක කරන්නෙ එයලගෙ පවුලෙ අයනෙපොඩි කෙල්ලගෙ අච්චිල දෙන්න තම එ ඉන්නෙඑයලගෙ අච්චිල එක්ක එක කරනව
Neutral,PERSON මැවිල්ල ගැන තියෙන්නෙ උප්පත්ති පොතෙ එකෙ අවසනෙ තියෙන්නෙ ජොසප් ගැන මැවිල්ලෙ කතව අන්තිමටත් ඔක කියල නැ
Neutral,PERSON එක නම් මෙ ඉපදෙන්න කලින් ලමයෙක්ටත් තෙරෙනො ඔක ලංකවෙ තියෙන්නෙ කියල
Neutral,ටිකට් එකක් කීයද
Neutral,මට බිල ගෙවල යන්න ඕනැ
Neutral,ඔයාල බ්‍රිතාන්‍ය පවුම් ගන්නවද
Neutral,ඔයාල ක්‍රෙඩිට් කාඩ් ගන්නවද
Neutral,මට සල්ලි මාරු කරල දෙන්න පුළුවන්ද
Neutral,මට සල්ලි මාරු කර ගන්න පුළුවන් කොහෙන්ද
Neutral,මට ට්‍රැවලර්ස් චෙක් එකක් මාරු කරල දෙන්න පුළුවන්ද
Neutral,සල්ලි ගන්න මැෂිමක්  ඒ   ටී   එම්   එකක්  තියෙන්නෙ කොහෙද
Neutral,මාරු කරන රේට් එක මොකක්ද
Neutral,මට ට්‍රැවලර්ස් චෙක් එකක් මාරු කර ගන්න පුළුවන් කොහෙන්ද
Neutral,බිල ගේනවද
Neutral,මේක කීයද
Neutral,ඔයා මේක ගන්න කැමතිද
Neutral,ඔයාල ඇමරිකාවෙ  කැනඩාවෙ  ඕස්ට්‍රේලියාවෙ ඩොලර් ගන්නවද
Neutral,මිළට ඇතුළත්ද
Neutral,ඔයාල ළඟ  සේප්පුවක්  තියනවද
Neutral,මට ඔයාගෙ ෆෝන් එක පාවිච්චි කරන්න පුළුවන්ද
Neutral,මේක හදිස්සියක්  මට ඔයාගේ උදව් ඕනැ
Neutral,මම පොලීසියට කතා කරනව
Neutral,ඔබගේ දුරකතන අංකය කුමක්ද
Neutral,මට ඔබගේ දුරකතනය පාවිච්චි කල හැකිද
Buy,මට මේක ගන්න ඕනෙ
Buy,කෑම එක අර ගන්නම ඕනෙ
Buy,මට මේ කමිසය ගන්න ඕනෙ
Buy,ඕගොල්ලන්ගෙ කොළ පාට ගවුම ගන්ක ඕනෙ
Buy,මට මේ කමිසය ඕනෙ
Buy,මට මෙන්න මේ t shirt එක මිලදී ගන්න ඕනෙ